Siid;Sigle;Type;Principale;Nom du responsable;Prénom du responsable;Date début fonction;Date fin fonction;Type fonction;CRI;Site;Statut actuel;Date début statut actuel;Date fin statut actuel;Libellé français;Libellé anglais;Domaine français;Domaine anglais;Thème français;Thème anglais;Partenaires (sigles);Partenaires (libellés);Institut(s) CNRS impliqué(s);Laboratoires (sigles);Laboratoires (libellés);Date de création;Date d'arrêt;Dates d'évaluations;Num. national;idHAL;Décisions INRIA;Code structure;Mots clés (français);Mots clés (anglais);
"SR0192DR";"A3";"EP";principal;"Eisenbeis";"Christine";"15-12-1998";"01-07-2004";"Principal";"Centre Inria de Saclay";"Centre de recherche Inria de Saclay";"Terminée";"01/07/2004";"";"Analyse avancée appliquée à l'optimisation de codes";"Advanced analysis to code optimization";"Mathématiques appliquées, calcul et simulation";"Applied Mathematics, Computation and Simulation";"Schémas et simulations numériques";"Numerical schemes and simulations";"";"";"";"";"";"15/12/1998";"01/07/2004";"";"200921177J";"";"2677-C, 3020-P, 4270-F";"";"analyse,parallélisme d'instructions,hiérarchie mémoire";"analysis,instruction level parallelism,memory hierarchy";
"SR0478GR";"A4RES";"Equipe";principal;"Fleury";"Eric";"01-04-2008";"01-01-2009";"Principal";"Centre Inria de l'Université Grenoble Alpes";"Centre de recherche Inria de l'Université Grenoble Alpes";"Terminée";"01/01/2009";"";"Autonomic Advanced & Applied Architectures for wiREless networks & Systems";"Autonomic Advanced & Applied Architectures for wiREless networks & Systems";"Réseaux, systèmes et services, calcul distribué ";"Networks, Systems and Services, Distributed Computing";"Réseaux et télécommunications";"Networks and Telecommunications";"";"";"";"";"";"01/04/2008";"01/01/2009";"";"200821380J";"";"6261-C, 6621-N, 6714-F";"071081-0";"";"";
"SR0184DR";"ABS";"EP";principal;"Cazals";"Frederic";"01-08-2021";"";"Principal";"Centre Inria d'Université Côte d'Azur";"Centre Inria d'Université Côte d'Azur";"Décision signée";"01/08/2021";"31/12/2027";"Algorithmes et Biologie Structurale";"Algorithms - Biology - Structure";"Santé, biologie et planète numériques";"Digital Health, Biology and Earth";"Biologie numérique";"Computational Biology";"";"";"";"";"";"01/07/2008";"31/12/2027";"08/10/2009, 17/10/2013, 11/10/2017, 15/05/2022";"200818987H";"";"6387-C, 7386-P, 8407-P, 8896-P, 10210-P, 13243-P, 14600-F, 14898-F, 14920-C, 15193-P, 16554-P";"041101-1";"Bioinformatique structurale, biophysique, mouvements moléculaires, flexibilité moléculaire, espaces conformationnels, paysages énergétiques, physique statistique, géométrie algorithmique, optimisation, algorithmes, apprentissage machine, probabilités numériques, logiciel scientifique";"Computational structural biology, biophysics, protein motions, molecular flexibility, conformational spaces, energy landscapes, statistical physics, computational geometry, optimization, algorithms, machine learning, numerical probabilities, scientific software";
"SR0091IR";"ABSTRACTION";"EP";principal;"Rival";"Xavier";"01-10-2012";"31-12-2013";"Par intérim";"Centre Inria de Paris";"Ecole Normale supérieure Paris";"Terminée";"31/12/2013";"";"Interprétation abstraite et analyse statique";"Abstract Interpretation and Static Analysis";"Algorithmique, programmation, logiciels et architectures";"Algorithmics, Programming, Software and Architecture";"Preuves et vérification";"Proofs and Verification";"CNRS, ENS PSL";"CNRS, Ecole normale supérieure de Paris";"";"DI-ENS [CNRS, INRIA, ENS PSL]";"Département d'Informatique de l'Ecole Normale Supérieure";"01/01/2008";"31/12/2013";"22/03/2011";"200818329T";"";"6153-C, 8339-P, 8946-N, 9321-?, 9849-F";"021083-1";"Abstraction, analyse statique, certification, interprétation abstraite, logiciel, modèles abstraits, preuve, protocoles cryptographiques, sémantique, vérification, sécurité, systèmes embarqués, sûreté";"Abstract interpretation, abstract models, abstraction, certification, cryptographic protocols, embedded systems, proofs, semantics, software, static analysis, verification, safety, security. Design an";
"SR0194OR";"ACACIA";"EP";principal;"Dieng";"Rose";"01-01-1992";"31-12-2006";"Principal";"Centre Inria d'Université Côte d'Azur";"Centre Inria d'Université Côte d'Azur";"Terminée";"31/12/2006";"";"Acquisition des connaissances pour l'assistance à la conception par interaction entre agents";"Knowledge acquisition for aided design through agent interaction";"Systèmes symboliques";"Symbolic systems";"Organisation des contenus et de la langue";"Management and processing of language and data";"";"";"";"";"";"01/01/1992";"31/12/2006";"";"199221383G";"";"3620-P, 5156-P, 5415-F";"";"intelligence artificielle,science cognitive,système À base deconnaissances,acquisition de connaissances,capitalisation d'expertise,explication,assistance À l'utilisateur,coop&eacu";"artificial intelligence,cognitive science,knowledge-based system,knowledge acquisition,expertise capitalization,explanation,assistance to the user,co-operation,distributed artificial intelligence,mult";
"SR0906XR";"ACENTAURI";"EP";principal;"Malis";"Ezio";"01-05-2021";"";"Principal";"Centre Inria d'Université Côte d'Azur";"Centre Inria d'Université Côte d'Azur";"Décision signée";"01/05/2021";"31/12/2025";"?	Intelligence artificielle et algorithmes efficaces pour la robotique autonome";"Artificial intelligence and efficient algorithms for autonomus robotics";"Perception, Cognition, Interaction";"Perception, Cognition and Interaction";"Robotique et environnements intelligents";"Robotics and Smart environments";"";"";"INS2I";"";"";"01/05/2021";"31/12/2025";"";"202124072D";"";"14813-C";"041167-0";"Robotique autonome, Modélisation, Perception, Contrôle, Intelligence Artificielle, Machine Learning, Interaction Homme-Robot, Informatique quantique, Analyse numérique";"Autonomous robotics, Modelling, Perception, Decision, Control, Artificial Intelligence, Machine Learning, Human-Robot Interaction, Quantum computing, Numerical Analysis";
"SR0110RR";"ACES";"EP";principal;"Banâtre";"Michel";"";"";"Principal";"Centre Inria de l'Université de Rennes";"Centre Inria de l'Université de Rennes";"Terminée";"31/12/2013";"";"Informatique diffuse et systèmes embarqués";"Ambient computing and embedded systems";"Réseaux, systèmes et services, calcul distribué ";"Networks, Systems and Services, Distributed Computing";"Systèmes et services distribués";"Distributed Systems and Services";"U. RENNES 1";"Université Rennes 1";"";"IRISA [U. RENNES 1, CNRS, INRIA, INSA RENNES, CENTRALESUPELEC, ENS RENNES, INSTITUT MINES-TELECOM, UBS]";"Institut de recherche en informatique et systèmes aléatoires (IRISA)";"01/01/2003";"31/12/2013";"09/10/2012";"200218346M";"";"3752-C, 4616-P, 6565-P, 9634-F";"031001-0";"systèmes embarqués";"";
"SR0665OR";"ACUMES";"Equipe";principal;"Goatin";"Paola";"01-01-2015";"30-06-2016";"Principal";"Centre Inria d'Université Côte d'Azur";"Centre Inria d'Université Côte d'Azur";"Terminée";"30/06/2016";"";"Analysis and Control of Unsteady Models for Engineering Sciences";"Analysis and Control of Unsteady Models for Engineering Sciences";"Mathématiques appliquées, calcul et simulation";"Applied Mathematics, Computation and Simulation";"Schémas et simulations numériques";"Numerical schemes and simulations";"";"";"";"";"";"01/01/2015";"30/06/2016";"";"201521161R";"";"10582-C";"041148-0";"EDP instationnaires, contrôle optimal, quantification d'incertitudes, méthodes de volumes finis, paradigmes d'optimisation";"evolutionary PDEs, optimal control, uncertainty quantification, finite volume methods, optimization paradigms";
"SR0748ER";"ACUMES";"EP";principal;"Goatin";"Paola";"01-01-2023";"";"Principal";"Centre Inria d'Université Côte d'Azur";"Centre Inria d'Université Côte d'Azur";"Décision signée";"01/07/2016";"31/12/2026";"Analysis and Control of Unsteady Models for Engineering Sciences";"Analysis and Control of Unsteady Models for Engineering Sciences";"Mathématiques appliquées, calcul et simulation";"Applied Mathematics, Computation and Simulation";"Schémas et simulations numériques";"Numerical schemes and simulations";"UCA";"Université Côte d'Azur";"INSMI";"LJAD [U. NICE SOPHIA ANTIPOLIS  (UNS), CNRS]";"Laboratoire Jean-Alexandre Dieudonné (JAD)";"01/07/2016";"31/12/2026";"15/03/2017, 12/01/2022";"201521161R";"";"11694-C, 12548-P, 15187-P, 15855-P, 16224-P";"041148-1";"EDP instationnaires, contrôle optimal, quantification d'incertitudes, méthodes de volumes finis, paradigmes d'optimisation";"evolutionary PDEs, optimal control, uncertainty quantification, finite volume methods, optimization paradigms";
"SR0310XR";"ADAGE";"Equipe";principal;"Koutcherov";"Grigory";"";"";"Principal";"Centre Inria de l'Université de Lorraine";"Centre Inria de l'Université de Lorraine";"Terminée";"01/01/2006";"";"Algorithmique discrête et ses applications à la génomique";"Applying discrete algorithms to genomics";"Systèmes biologiques";"Biological systems";"Modélisation et simulation pour la biologie et la médecine";"Modeling and simulation in biology and medicine";"";"";"";"";"";"01/01/2002";"01/01/2006";"";"200221405M";"";"4873-F, 217-C";"";"";"";
