Siid;Sigle;Type;Principale;Nom du responsable;Prénom du responsable;Date début fonction;Date fin fonction;Type fonction;CRI;Site;Statut actuel;Date début statut actuel;Date fin statut actuel;Libellé français;Libellé anglais;Domaine français;Domaine anglais;Thème français;Thème anglais;Partenaires (sigles);Partenaires (libellés);Institut(s) CNRS impliqué(s);Laboratoires (sigles);Laboratoires (libellés);Date de création;Date d'arrêt;Dates d'évaluations;Num. national;idHAL;Décisions INRIA;Code structure;Mots clés (français);Mots clés (anglais);Unnamed: 34
SR0184DR;ABS;EP;principal;Cazals;Frederic;01-08-2021;;Principal;Centre Inria d'Université Côte d'Azur;Centre Inria d'Université Côte d'Azur;Décision signée;01/08/2021;31/12/2027;Algorithmes et Biologie Structurale;Algorithms - Biology - Structure;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Biologie numérique;Computational Biology;;;;;;01/07/2008;31/12/2027;08/10/2009, 17/10/2013, 11/10/2017, 15/05/2022;200818987H;;6387-C, 7386-P, 8407-P, 8896-P, 10210-P, 13243-P, 14600-F, 14898-F, 14920-C, 15193-P, 16554-P;041101-1;Bioinformatique structurale, biophysique, mouvements moléculaires, flexibilité moléculaire, espaces conformationnels, paysages énergétiques, physique statistique, géométrie algorithmique, optimisation, algorithmes, apprentissage machine, probabilités numériques, logiciel scientifique;Computational structural biology, biophysics, protein motions, molecular flexibility, conformational spaces, energy landscapes, statistical physics, computational geometry, optimization, algorithms, machine learning, numerical probabilities, scientific software;
SR0906XR;ACENTAURI;EP;principal;Malis;Ezio;01-05-2021;;Principal;Centre Inria d'Université Côte d'Azur;Centre Inria d'Université Côte d'Azur;Décision signée;01/05/2021;31/12/2025;?	Intelligence artificielle et algorithmes efficaces pour la robotique autonome;Artificial intelligence and efficient algorithms for autonomus robotics;Perception, Cognition, Interaction;Perception, Cognition and Interaction;Robotique et environnements intelligents;Robotics and Smart environments;;;INS2I;;;01/05/2021;31/12/2025;;202124072D;;14813-C;041167-0;Robotique autonome, Modélisation, Perception, Contrôle, Intelligence Artificielle, Machine Learning, Interaction Homme-Robot, Informatique quantique, Analyse numérique;Autonomous robotics, Modelling, Perception, Decision, Control, Artificial Intelligence, Machine Learning, Human-Robot Interaction, Quantum computing, Numerical Analysis;
SR0748ER;ACUMES;EP;principal;Goatin;Paola;01-01-2023;;Principal;Centre Inria d'Université Côte d'Azur;Centre Inria d'Université Côte d'Azur;Décision signée;01/07/2016;31/12/2026;Analysis and Control of Unsteady Models for Engineering Sciences;Analysis and Control of Unsteady Models for Engineering Sciences;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Schémas et simulations numériques;Numerical schemes and simulations;UCA;Université Côte d'Azur;INSMI;LJAD [U. NICE SOPHIA ANTIPOLIS  (UNS), CNRS];Laboratoire Jean-Alexandre Dieudonné (JAD);01/07/2016;31/12/2026;15/03/2017, 12/01/2022;201521161R;;11694-C, 12548-P, 15187-P, 15855-P, 16224-P;041148-1;EDP instationnaires, contrôle optimal, quantification d'incertitudes, méthodes de volumes finis, paradigmes d'optimisation;evolutionary PDEs, optimal control, uncertainty quantification, finite volume methods, optimization paradigms;
SR0836XR;AGORA;EP;principal;Rivano;Herve;01-04-2018;;Principal;Centre Inria de Lyon;Centre de recherche Inria de Lyon;Décision signée;01/04/2018;31/12/2025;AlGorithmes et Optimisation pour Réseaux Autonomes;Wireless Networks for Digital Cities;Réseaux, systèmes et services, calcul distribué;Networks, Systems and Services, Distributed Computing;Réseaux et télécommunications;Networks and Telecommunications;INSA LYON;Institut national des sciences appliquées de Lyon;;CITI [INSA LYON];Centre d'innovation en télécommunications et intégration de services;01/04/2018;31/12/2025;17/03/2020;201722227R;;12790-C, 14583-P, 15179-P;121011-0;réseau sans fil, réseau de capteurs, réseaux hybrides, Internet des Objets, IoT, M2M, 5G, auto-organisation, optimisation, villes intelligentes;wireless networks, sensors networks, hybrid networks, IoT, M2M, 5G, self-organization, optimization, smart cities;
SR0919VR;AIO;EP;principal;Watteyne;Thomas;01-03-2022;;Principal;Centre Inria de Paris;Centre de recherche Inria de Paris;Décision signée;01/03/2022;28/02/2026;Mise en réseau fiable, sans fil à faible consommation et micro-robotique;Dependable Networking, Low-Power Wireless and Micro-Robotics;Réseaux, systèmes et services, calcul distribué;Networks, Systems and Services, Distributed Computing;Réseaux et télécommunications;Networks and Telecommunications;;;;;;01/03/2022;28/02/2026;;202224247P;;15322-C;021159-0;Smart Dust, Low-Power Wireless Networking, Security in Constrained Systems, Swarm Robotics, Vehicle Area Networking;Smart Dust, Low-Power Wireless Networking, Security in Constrained Systems, Swarm Robotics, Vehicle Area Networking;
SR0738DR;AIRSEA;EP;principal;Vidard;Patrick;01-07-2023;;Principal;Centre Inria de l'Université Grenoble Alpes;Laboratoire LJK- Bâtiment IMAG;Décision signée;01/04/2016;31/12/2027;Mathématiques et calcul scientifique appliqués aux écoulements océaniques et atmosphériques;Mathematics and computing applied to oceanic and atmospheric flows;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Sciences de la planète, de l'environnement et de l'énergie;Earth, Environmental and Energy Sciences;UGA, CNRS;Université de Grenoble Alpes, CNRS;INSMI;LJK [UJF (GRENOBLE), GRENOBLE INP, CNRS, UPMF (GRENOBLE)];Laboratoire Jean Kuntzmann (LJK);01/04/2016;31/12/2027;13/03/2018, 01/12/2022;201521159N;;11554-C, 13246-P, 15815-P, 16264-CR, 16267-N, 16820-P;071123-1;"méthodes déterministes et statistiques; modélisation; réduction de modèle; gestion des incertitudes; calcul haute performance; océan ;atmosphère";"Deterministic and statistical methods; Modelling; Model reduction; Uncertainties; High performance computing; ocean; atmosphere";
SR0933ZR;AISTROSIGHT;EP;principal;Berry;Hugues;01-01-2023;;Principal;Centre Inria de Lyon;Centre de recherche Inria de Lyon;Décision signée;01/01/2023;31/12/2026;La pharmacologie des neurones et des astrocytes à l?aide des sciences du numérique;Viewing neuron-astrocyte pharmacology through digital sciences;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Neurosciences et médecine numériques;Computational Neuroscience and Medicine;U. LYON 1 (UCBL), HCL - CHU LYON, THERANEXUS;Université Claude Bernard (Lyon 1), Hospices Civils de Lyon - Centre Hospitalier de Lyon, Theranexus;;;;01/01/2023;31/12/2026;;202324373X;;15891-C;121028-0;B.1.2.3. Neurosciences computationnelles, B.1.2.1. Compréhension et simulation du cerveau et du système nerveux, A3.1. Données, A3.1.1. Modélisation, représentation, A3.2. Connaissances,  A6.1. Outils mathématiques pour la modélisation, A6.1.4. Modélisation multiéchelle,  A6.1.3. Modélisation discrete (multi-agent, individus centrés) , B.1.1.7. Biologie computationnelle, B.1.1.10. Biologie des systèmes et biologie synthétique;B.1.2.3. Neurosciences computationnelles, B.1.2.1. Compréhension et simulation du cerveau et du système nerveux, A3.1. Données, A3.1.1. Modélisation, représentation, A3.2. Connaissances,  A6.1. Outils mathématiques pour la modélisation, A6.1.4. Modélisation multiéchelle,  A6.1.3. Modélisation discrete (multi-agent, individus centrés) , B.1.1.7. Biologie computationnelle, B.1.1.10. Biologie des systèmes et biologie synthétique;
SR0933ZR;AISTROSIGHT;EP;;;;;;;Centre Inria de Lyon;Centre d'Etude et de Recherche Multimodal Et Pluridisciplinaire en imagerie du vivant (CERMEP);Décision signée;01/01/2023;31/12/2026;La pharmacologie des neurones et des astrocytes à l?aide des sciences du numérique;Viewing neuron-astrocyte pharmacology through digital sciences;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Neurosciences et médecine numériques;Computational Neuroscience and Medicine;U. LYON 1 (UCBL), HCL - CHU LYON, THERANEXUS;Université Claude Bernard (Lyon 1), Hospices Civils de Lyon - Centre Hospitalier de Lyon, Theranexus;;;;01/01/2023;31/12/2026;;202324373X;;15891-C;121028-0;B.1.2.3. Neurosciences computationnelles, B.1.2.1. Compréhension et simulation du cerveau et du système nerveux, A3.1. Données, A3.1.1. Modélisation, représentation, A3.2. Connaissances,  A6.1. Outils mathématiques pour la modélisation, A6.1.4. Modélisation multiéchelle,  A6.1.3. Modélisation discrete (multi-agent, individus centrés) , B.1.1.7. Biologie computationnelle, B.1.1.10. Biologie des systèmes et biologie synthétique;B.1.2.3. Neurosciences computationnelles, B.1.2.1. Compréhension et simulation du cerveau et du système nerveux, A3.1. Données, A3.1.1. Modélisation, représentation, A3.2. Connaissances,  A6.1. Outils mathématiques pour la modélisation, A6.1.4. Modélisation multiéchelle,  A6.1.3. Modélisation discrete (multi-agent, individus centrés) , B.1.1.7. Biologie computationnelle, B.1.1.10. Biologie des systèmes et biologie synthétique;
SR0860ZR;ALICE;;principal;Sokolov;Dmitry;01-01-2019;31-12-2019;Principal;Centre Inria de l'Université de Lorraine;Centre Inria de l'Université de Lorraine;Terminée;31/03/2020;;Géometrie et Lumière;Geometry and Lighting;Perception, Cognition, Interaction;Perception, Cognition and Interaction;Interaction et visualisation;Interaction and visualization;;;;;;01/01/2019;31/03/2020;;201922965J;;13284-C, 14037-F;051003-1;Optimisation numérique linéaire/non-linéaire/contrainte, méthode de Galerkin, méthodes stochastiques, rendu volumique, clusters, binary swap;Linear/non-linear/constrained numerical optimization, Galerkin formulation, stochastic methods, volume rendering, clusters, binary swap;
SR0776AR;ALMANACH;EP;principal;Sagot;Benoit;01-07-2019;;Principal;Centre Inria de Paris;Centre de recherche Inria de Paris;Décision signée;01/07/2019;31/12/2024;Modélisation et analyse linguistique automatique et humanités computationnelles;Automatic Language Modelling and Analysis & Computational Humanities;Perception, Cognition, Interaction;Perception, Cognition and Interaction;Langue, parole et audio;Language, Speech and Audio;;;;;;01/01/2017;31/12/2024;02/10/2019;201722248N;;12049-C, 12544-P, 12916-P, 13694-C, 14340-P, 16995-P;021145-0;;;
