,Conference,Publication Date,Publication Count
0,CDC 2019 - 58th IEEE Conference on Decision and Control,2019,6
1,CDC 2019 - 58th IEEE Conference on Decision and Control,2019,4
2,CDC 2019 - 58th IEEE Conference on Decision and Control,2019,3
3,CDC 2019 - 58th IEEE Conference on Decision and Control,2019,3
4,CDC 2019 - 58th IEEE Conference on Decision and Control,2019,2
5,CDC 2019 - 58th IEEE Conference on Decision and Control,2019,2
6,CDC 2019 - 58th IEEE Conference on Decision and Control,2019,2
7,CDC 2019 - 58th IEEE Conference on Decision and Control,2019,2
8,CDC 2019 - 58th IEEE Conference on Decision and Control,2019,1
9,CDC 2019 - 58th IEEE Conference on Decision and Control,2019,1
10,CDC 2019 - 58th IEEE Conference on Decision and Control,2019,1
11,CDC 2019 - 58th IEEE Conference on Decision and Control,2019,1
12,IFAC 2020 - 21st IFAC World Congress,2020,10
13,IFAC 2020 - 21st IFAC World Congress,2020,6
14,IFAC 2020 - 21st IFAC World Congress,2020,2
15,IFAC 2020 - 21st IFAC World Congress,2020,1
16,IFAC 2020 - 21st IFAC World Congress,2020,1
17,IFAC 2020 - 21st IFAC World Congress,2020,1
18,IFAC 2020 - 21st IFAC World Congress,2020,1
19,IFAC 2020 - 21st IFAC World Congress,2021,1
20,NeurIPS 2020 - 34th Conference on Neural Information Processing Systems,2020,4
21,NeurIPS 2020 - 34th Conference on Neural Information Processing Systems,2020,3
22,NeurIPS 2020 - 34th Conference on Neural Information Processing Systems,2020,2
23,NeurIPS 2020 - 34th Conference on Neural Information Processing Systems,2020,2
24,NeurIPS 2020 - 34th Conference on Neural Information Processing Systems,2020,2
25,NeurIPS 2020 - 34th Conference on Neural Information Processing Systems,2020,1
26,NeurIPS 2020 - 34th Conference on Neural Information Processing Systems,2020,1
27,NeurIPS 2020 - 34th Conference on Neural Information Processing Systems,2020,1
28,NeurIPS 2020 - 34th Conference on Neural Information Processing Systems,2020,1
29,NeurIPS 2020 - 34th Conference on Neural Information Processing Systems,2020,1
30,NeurIPS 2020 - 34th Conference on Neural Information Processing Systems,2020,1
31,NeurIPS 2020 - 34th Conference on Neural Information Processing Systems,2020,1
32,NeurIPS 2020 - 34th Conference on Neural Information Processing Systems,2020,1
33,NeurIPS 2020 - 34th Conference on Neural Information Processing Systems,2020,1
