,journalId_i,journalTitle_s,structId_i,docType_s,publicationDateY_i
0,7337,Nature Medicine,"[1044147, 1004811, 301888, 303623, 301888, 1124248, 118170, 300016, 118511, 300009, 1093353, 118511, 300009, 185950, 301888, 1143802, 301888, 1004656, 301888, 303623, 160155, 301888, 471397, 535042, 300147, 455934, 300318, 455934, 1004701, 303623, 441569, 557826, 541952, 301888, 413221, 441569, 25344, 502406, 1004811, 301888, 303623, 143512]",ART,2023
1,7337,Nature Medicine,"[166705, 302344, 307368, 193738, 126765, 301088, 194495, 301088, 219748, 301088, 301232, 300284, 441569, 521754, 193738, 126765, 301088, 194495, 301088, 219748, 301088, 301232, 300284, 441569, 1096064, 193738, 126765, 301088, 194495, 301088, 219748, 301088, 301232, 300284, 441569, 1096051, 300009, 420048, 302344, 88132, 50873, 366312, 302344]",ART,2019
2,7337,Nature Medicine,"[302344, 1083570, 470722, 160051, 2003, 33804, 126765, 301088, 194495, 301088, 219748, 301088, 301232, 441569, 2497, 300009, 10025, 194495, 301088, 301767, 441569, 1062221, 194495, 301088, 300074, 303623, 577435, 219748, 301088, 301232]",ART,2021
3,7337,Nature Medicine,"[28519, 156104, 571220, 300150, 1043516, 300009, 411575, 419361, 106120, 92966, 156104, 303623, 1043517, 118511, 300009, 1043516, 300009, 411575, 419361, 1042590, 411575, 419361, 477414, 123026, 502406, 1039632, 20549, 301325, 301051, 1082367, 301261, 455934, 502406, 575575, 1051142, 156104, 303623, 419361, 441569, 156104, 150180, 156104, 531291, 502406, 1041757, 110691, 564132, 156104, 419361, 441569, 419361]",ART,2023
4,5754,Journal of the American Medical Association,"[1001042, 303623, 413221, 581146, 51335, 1067737, 454310, 300009, 1004777, 110691, 564132, 303623, 413221, 557826]",OTHER,2022
5,7337,Nature Medicine,"[439189, 302851, 571036, 167343, 452982, 302851, 570208, 571037, 182148, 19591, 571861, 571860, 181, 410122, 441569, 571082, 338579, 450088, 181, 410122, 441569, 34586, 300009, 98226, 68615, 127451, 58000, 521158, 180925]",ART,2019
6,19182,Stroke,"[7259, 300157, 81479, 303623, 413289, 300122, 201712, 300157, 2621, 254924, 300157, 303623, 413289, 223006, 300157, 303623, 413289, 474972, 454949, 306503, 258773, 306503, 258773, 453714, 300068, 413221, 1060446, 410109, 472222, 81173, 241637, 301327, 121416, 300068, 14923, 300068, 312432, 300068, 543306, 7127, 455934, 300185, 455934, 575575, 410117, 7127, 455934, 300185, 455934, 575575, 204900, 300906, 58106, 300906, 353778, 300068, 413221, 543178, 470444, 300068, 185749, 300147, 455934, 300318, 455934, 553367, 300147, 455934, 300318, 455934, 547851, 455510, 300075, 183002, 1153203, 300075, 127995, 323839, 58974, 300149, 211628, 345654, 211628, 480202, 211628, 190003, 356603, 242167, 356603, 3297, 347702, 303184, 553761, 303623, 419153, 300009, 491232, 490899, 105160, 117606, 172265, 247362, 300009, 411575, 441569, 481355]",ART,2021
7,19182,Stroke,"[329903, 97916, 470444, 300068, 452220, 338859, 30151, 353778, 300068, 413221, 301327, 553761, 303623, 419153, 300009, 491232, 490899, 105160, 117606, 172265, 247362, 300009, 411575, 441569, 481355, 161272, 105160, 300128, 300068, 306293, 301298, 523911, 300992, 1087778, 1073096, 1083376, 303550, 566779, 320916]",ART,2020
8,22137,Hepatology,"[411212, 450022, 450021, 94687, 133089, 411232, 133089, 303510, 450021, 335120, 411236, 450082, 254729, 110922, 580269, 303510, 542023, 454310, 300009, 542019, 300301, 413221, 441569, 300717, 471291, 83832]",ART,2019
9,17392,Neuron,"[92863, 46674, 95998, 5247, 303540, 47262, 309384, 481816, 306322, 237843, 472411, 303418, 302452, 300875, 364331, 302729, 455428, 92849, 135606, 134741, 56051, 40417, 419361, 487603, 300016, 118511, 300009, 121723, 302344, 46584, 146992, 37123, 523503, 301506, 488015, 146829, 303638, 374701, 1055588, 99874, 301093, 1049005, 74980, 300027, 1053173, 303623, 557826, 438802, 302346, 250752, 74661, 250023, 75866, 566144, 300433, 130467, 353393, 318728, 300689, 566099, 1081708, 202046, 198056, 441569, 553761, 303623, 419153, 300009, 491232, 490899, 105160, 117606, 172265, 247362, 300009, 411575, 441569, 481355, 85356, 304024, 558780, 308343, 93528, 190541, 471291, 302610, 71621, 25841, 469589, 575907, 130467, 542032, 454310, 300009, 542029, 300068, 303623, 353778, 300068, 413221, 413221, 441569, 542029, 300068, 303623, 353778, 300068, 413221, 413221, 441569, 244085, 259761, 441569, 1092625, 303623, 419153, 300009, 1092619, 490899, 105160, 117606, 172265, 247362, 300009, 411575, 441569, 481355, 303369, 300798]",ART,2021
10,7333,Nature,"[46674, 542174, 301492, 564132, 413221, 454310, 300009, 1004921, 413221, 441569, 557826, 1136774, 59704]",ART,2020
11,7333,Nature,"[415996, 129671, 300009, 423090, 206040, 300009, 413289, 441569]",ART,2024
12,7333,Nature,"[533869, 417362, 302931, 213167, 99874, 347951, 488707, 301247, 318451, 1148935, 142636, 301506, 74661, 222141, 472411, 420074, 302215, 562611, 302844, 300302, 564132, 1043327, 2497, 300009, 1043301, 441569, 1042703, 1043329, 1042703, 300875, 353656, 508386, 160272, 1153207, 242555]",ART,2022
13,7333,Nature,"[188658, 3102, 259761, 300366, 441569, 104751, 300009, 244085, 259761, 441569, 451, 300297, 300298, 303623, 341038, 441569]",ART,2019
