,siidRNSR_x,Thème anglais,Sigle,NonPertinentDansHal,siidEquipeGroupe,idStructureHal,siidRNSR_y
0,200818987H,Computational Biology,ABS,,GS0184O,51872,200818987H
1,202324373X,Computational Neuroscience and Medicine,AISTROSIGHT,,,1152689,
2,202324373X,Computational Neuroscience and Medicine,AISTROSIGHT,,,1152689,
3,201120772K,Computational Biology,AMIB,,GS0318Q,103784,201120772K
4,201622254Z,Computational Biology,AMIBIO,,GS0781D,485707,201622254Z
5,201221057R,Computational Neuroscience and Medicine,ARAMIS,,GS0532M,215031,201221057R
5,201221057R,Computational Neuroscience and Medicine,ARAMIS,,GS0532M,454319,201221057R
5,201221057R,Computational Neuroscience and Medicine,ARAMIS,,GS0532M,542032,201221057R
6,201221057R,Computational Neuroscience and Medicine,ARAMIS,,GS0532M,215031,201221057R
6,201221057R,Computational Neuroscience and Medicine,ARAMIS,,GS0532M,454319,201221057R
6,201221057R,Computational Neuroscience and Medicine,ARAMIS,,GS0532M,542032,201221057R
7,200518380L,Computational Neuroscience and Medicine,ASCLEPIOS,,GS0146Y,30281,200518380L
8,201019614F,Computational Neuroscience and Medicine,ATHENA,,GS0410V,106416,201019614F
9,200920929P,Computational Biology,BAMBOO,,GS0323V,89319,200920929P
10,201120997E,Computational Biology,BEAGLE,,GS0462O,160051,201120997E
10,201120997E,Computational Biology,BEAGLE,,GS0462O,1096070,201120997E
11,200920955T,Modeling and Control for Life Sciences,BIGS,,GS0408S,107891,200920955T
11,200920955T,Modeling and Control for Life Sciences,BIGS,,GS0408S,205119,200920955T
12,201121226D,Modeling and Control for Life Sciences,BIOCORE,,GS0444F,147973,201121226D
12,201121226D,Modeling and Control for Life Sciences,BIOCORE,,GS0444F,541741,201121226D
12,201121226D,Modeling and Control for Life Sciences,BIOCORE,,GS0444F,1002318,201121226D
13,201121226D,Modeling and Control for Life Sciences,BIOCORE,,GS0444F,147973,201121226D
13,201121226D,Modeling and Control for Life Sciences,BIOCORE,,GS0444F,541741,201121226D
13,201121226D,Modeling and Control for Life Sciences,BIOCORE,,GS0444F,1002318,201121226D
14,201622040S,Computational Neuroscience and Medicine,BIOVISION,,GS0719A,450087,201622040S
15,201622040S,Computational Neuroscience and Medicine,BIOVISION,,GS0719A,450087,201622040S
16,201120987U,Computational Biology,BONSAI,,GS0448I,158815,201120987U
16,201120987U,Computational Biology,BONSAI,,GS0448I,432028,201120987U
17,201622042U,Computational Neuroscience and Medicine,CAMIN,,GS0721J,450088,201622042U
17,201622042U,Computational Neuroscience and Medicine,CAMIN,,GS0721J,1050574,201622042U
18,201622042U,Computational Neuroscience and Medicine,CAMIN,,GS0721J,450088,201622042U
18,201622042U,Computational Neuroscience and Medicine,CAMIN,,GS0721J,1050574,201622042U
19,201521171B,Computational Biology,CAPSID,,GS0673D,420402,201521171B
20,201521171B,Computational Biology,CAPSID,,GS0673D,420402,201521171B
21,201121001J,Modeling and Control for Life Sciences,CARMEN,,GS0474E,172042,201121001J
22,201121001J,Modeling and Control for Life Sciences,CARMEN,,GS0474E,172042,201121001J
23,201923240H,Modeling and Control for Life Sciences,COMMEDIA,,GS0877S,562664,201923240H
23,201923240H,Modeling and Control for Life Sciences,COMMEDIA,,GS0877S,1005053,201923240H
24,202124080M,Computational Neuroscience and Medicine,COMPO,,GS0907S,1071285,202124080M
25,202224368W,Computational Neuroscience and Medicine,CRONOS,,,1151540,
26,200318382X,Computational Neuroscience and Medicine,DEMAR,,GS0148T,391198,200318382X
27,201020961V,Modeling and Control for Life Sciences,DRACULA,,GS0413V,108959,201020961V
27,201020961V,Modeling and Control for Life Sciences,DRACULA,,GS0413V,1096064,201020961V
28,201221035S,Computational Biology,DYLISS,,GS0506A,179413,201221035S
28,201221035S,Computational Biology,DYLISS,,GS0506A,491479,201221035S
29,200518339S,Computational Neuroscience and Medicine,EMPENN,,GS0864J,553761,201923009G
29,200518339S,Computational Neuroscience and Medicine,EMPENN,,GS0864J,1092625,201923009G
30,202324452H,Computational Neuroscience and Medicine,EPIMETHEE,,,1176626,
31,201822641L,Computational Neuroscience and Medicine,EPIONE,,GS0816Q,525212,201822641L
32,201822641L,Computational Neuroscience and Medicine,EPIONE,,GS0816Q,525212,201822641L
33,201521243E,Computational Biology,ERABLE,,GS0685H,417639,201521243E
33,201521243E,Computational Biology,ERABLE,,GS0685H,1096260,201521243E
34,201521243E,Computational Biology,ERABLE,,GS0685H,417639,201521243E
34,201521243E,Computational Biology,ERABLE,,GS0685H,1096260,201521243E
35,200820931W,Computational Neuroscience and Medicine,GALEN,,GS0341P,56046,200820931W
36,201822768Z,Computational Neuroscience and Medicine,GALEN,,GS0341P,56046,200820931W
37,201221037U,Computational Biology,GENSCALE,,GS0507Y,179586,201221037U
37,201221037U,Computational Biology,GENSCALE,,GS0507Y,491655,201221037U
38,202124127N,Computational Neuroscience and Medicine,HEKA,,GS0912W,1067737,202124127N
39,200919003W,Computational Biology,IBIS,,GS0236I,56309,200919003W
40,201722244J,Modeling and Control for Life Sciences,INBIO,,GS0884R,482771,201722244J
40,201722244J,Modeling and Control for Life Sciences,INBIO,,GS0884R,574386,201722244J
40,201722244J,Modeling and Control for Life Sciences,INBIO,,GS0884R,1090800,201722244J
41,201421205T,Computational Biology,LIFEWARE,,GS0626R,241875,201421205T
41,201421205T,Computational Biology,LIFEWARE,,GS0626R,454733,201421205T
42,201421205T,Computational Biology,LIFEWARE,,GS0626R,241875,201421205T
42,201421205T,Computational Biology,LIFEWARE,,GS0626R,454733,201421205T
43,201321220N,Modeling and Control for Life Sciences,M3DISIM,,GS0564K,214668,201321220N
44,201321220N,Modeling and Control for Life Sciences,M3DISIM,,GS0564K,214668,201321220N
45,202324425D,Modeling and Control for Life Sciences,MACBES,,,1169570,
46,200919004X,Computational Biology,MAGNOME,,GS0354Z,55998,200919004X
46,200919004X,Computational Biology,MAGNOME,,GS0354Z,23359,200919004X
47,201421109N,Modeling and Control for Life Sciences,MAMBA,,GS0604V,240018,201421109N
47,201421109N,Modeling and Control for Life Sciences,MAMBA,,GS0604V,454654,201421109N
47,201421109N,Modeling and Control for Life Sciences,MAMBA,,GS0604V,542023,201421109N
47,201421109N,Modeling and Control for Life Sciences,MAMBA,,GS0604V,1005056,201421109N
48,201421109N,Modeling and Control for Life Sciences,MAMBA,,GS0604V,240018,201421109N
48,201421109N,Modeling and Control for Life Sciences,MAMBA,,GS0604V,454654,201421109N
48,201421109N,Modeling and Control for Life Sciences,MAMBA,,GS0604V,542023,201421109N
48,201421109N,Modeling and Control for Life Sciences,MAMBA,,GS0604V,1005056,201421109N
49,201421109N,Modeling and Control for Life Sciences,MAMBA,,GS0604V,240018,201421109N
49,201421109N,Modeling and Control for Life Sciences,MAMBA,,GS0604V,454654,201421109N
49,201421109N,Modeling and Control for Life Sciences,MAMBA,,GS0604V,542023,201421109N
49,201421109N,Modeling and Control for Life Sciences,MAMBA,,GS0604V,1005056,201421109N
50,201421109N,Modeling and Control for Life Sciences,MAMBA,,GS0604V,240018,201421109N
50,201421109N,Modeling and Control for Life Sciences,MAMBA,,GS0604V,454654,201421109N
50,201421109N,Modeling and Control for Life Sciences,MAMBA,,GS0604V,542023,201421109N
50,201421109N,Modeling and Control for Life Sciences,MAMBA,,GS0604V,1005056,201421109N
51,200821237D,Modeling and Control for Life Sciences,MASAIE,,GS0394V,129637,200821237D
52,201622008G,Computational Neuroscience and Medicine,MATHNEURO,,GS0722L,450089,201622008G
53,201622008G,Computational Neuroscience and Medicine,MATHNEURO,,GS0722L,450089,201622008G
54,202324390R,Computational Biology,MERGE,,,116000,
55,202124114Z,Modeling and Control for Life Sciences,MICROCOSME,,,1079998,
56,201521769B,Computational Neuroscience and Medicine,MIMESIS,,GS0711G,425649,201521769B
57,202224253W,Computational Neuroscience and Medicine,MIND,,GS0921D,1124248,202224253W
58,201221051J,Computational Neuroscience and Medicine,MNEMOSYNE,,GS0529N,188658,201221051J
59,201221051J,Computational Neuroscience and Medicine,MNEMOSYNE,,GS0529N,188658,201221051J
60,201120977H,Modeling and Control for Life Sciences,MODEMIC,,GS0442A,141070,201120977H
61,201521155J,Modeling and Control for Life Sciences,MONC,,GS0661S,409748,201521155J
62,201521155J,Modeling and Control for Life Sciences,MONC,,GS0661S,409748,201521155J
63,201120999G,Computational Biology,MORPHEME,,GS0473F,179332,201120999G
64,201822642M,Computational Biology,MOSAIC,,GS0817I,525218,201822642M
64,201822642M,Computational Biology,MOSAIC,,GS0817I,1096085,201822642M
65,202023600V,Modeling and Control for Life Sciences,MUSCA,,GS0895C,1050847,202023600V
66,202424539Y,Modeling and Control for Life Sciences,MUSCLEES,,,1200232,
67,202424539Y,Modeling and Control for Life Sciences,MUSCLEES,,,1200232,
68,201421101E,Modeling and Control for Life Sciences,MYCENAE,,GS0596N,238596,201421101E
68,201421101E,Modeling and Control for Life Sciences,MYCENAE,,GS0596N,454667,201421101E
69,202324451G,Computational Neuroscience and Medicine,NERV,,,1176621,
