,docid,acronyme,parent_name
0,186016,SHACRA,"Lille, Nancy"
1,206120,PRIVATICS,"Grenoble, Lyon"
2,1096071,CHROMA,"Grenoble, Lyon"
3,1124929,QINFO,"Grenoble, Lyon"
4,56036,ALIEN,"Lille, Saclay"
5,56048,GEOMETRICA,"Sophia, Saclay"
6,446142,DATASHAPE,"Sophia, Saclay"
7,2520,Lagadic,"Sophia, Rennes"
8,491336,Lagadic,"Sophia, Rennes"
9,455237,AOSTE,"Sophia, Paris"
10,2491,PLANETE,"Grenoble, Sophia"
11,1096255,DANTE,Lyon
12,1096064,DRACULA,Lyon
13,1096065,AGORA,Lyon
14,1096070,BEAGLE,Lyon
15,1096073,MARACAS,Lyon
16,1096086,ARIC,Lyon
17,1096087,AVALON,Lyon
18,1096185,CASH,Lyon
19,1096186,ROMA,Lyon
20,1159770,OCKHAM,Lyon
21,1152689,AISTROSIGHT,Lyon
22,1096085,MOSAIC,Lyon
23,1096266,EMERAUDE,Lyon
24,1096260,ERABLE,Lyon
25,1192312,MALICE,Lyon
26,29797,CARTE,Nancy
27,35123,TALARIS,Nancy
28,107893,CAMUS,Nancy
29,107894,SCORE,Nancy
30,107895,VERIDIS,Nancy
31,44729,COSTEAM,Nancy
32,119560,CARAMEL,Nancy
33,129637,MASAIE,Nancy
34,150772,SEMAGRAMME,Nancy
35,205107,CORTEX,Nancy
36,205117,ALGORILLE,Nancy
37,205118,ALICE,Nancy
38,205122,MADYNES,Nancy
39,205123,MAGRIT,Nancy
40,205124,MAIA,Nancy
41,205125,ORPAILLEUR,Nancy
42,205126,PAREO,Nancy
43,205127,PAROLE,Nancy
44,205128,TRIO,Nancy
45,205129,VEGAS,Nancy
46,189789,CASSIS,Nancy
47,213693,NEUROSYS,Nancy
48,421093,CORIDA,Nancy
49,418609,SPHINX,Nancy
50,420402,CAPSID,Nancy
51,420403,MULTISPEECH,Nancy
52,415986,COAST,Nancy
53,415996,LARSEN,Nancy
54,450090,CARAMBA,Nancy
55,478613,GAMBLE,Nancy
56,445522,PESTO,Nancy
57,551847,ALICE-POST,Nancy
58,551848,MAGRIT-POST,Nancy
59,551851,TOSCA-NGE-POST,Nancy
60,554178,VERIDIS,Nancy
61,568149,PIXEL,Nancy
62,529408,MOCQUA,Nancy
63,529415,RESIST,Nancy
64,532081,MFX,Nancy
65,1058141,PASTA,Nancy
66,2367,CALVI,Nancy
67,1193391,SIMBA,Nancy
68,243707,TONUS,Nancy
69,205119,BIGS,Nancy
70,233382,CAMUS,Nancy
71,425649,MIMESIS,Nancy
72,1194409,MACARON,Nancy
73,1061387,TANGRAM,Nancy
74,2368,CORIDA,Nancy
75,60156,Flowers,Bordeaux
76,90028,BACCHUS,Bordeaux
77,90159,ALEA,Bordeaux
78,55999,MC2,Bordeaux
79,56000,Phoenix,Bordeaux
80,56003,RUNTIME,Bordeaux
81,56004,SCALAPPLIX,Bordeaux
82,56005,SIGNES,Bordeaux
83,55876,CONCHA,Bordeaux
84,55990,ANUBIS,Bordeaux
85,55991,CEPAGE,Bordeaux
86,55995,GRAVITE,Bordeaux
87,55996,IPARLA,Bordeaux
88,55997,Magique 3D,Bordeaux
89,55998,MAGNOME,Bordeaux
90,102462,GeoStat,Bordeaux
91,159825,CAGIRE,Bordeaux
92,179935,Potioc,Bordeaux
93,188658,Mnemosyne,Bordeaux
94,410271,PoSET,Bordeaux
95,409747,STORM,Bordeaux
96,409750,TADAAM,Bordeaux
97,409755,PLEIADE,Bordeaux
98,486838,AUCTUS,Bordeaux
99,475077,CAGIRE,Bordeaux
100,528894,PHOENIX-POST,Bordeaux
101,1063534,MAKUTU,Bordeaux
102,1124641,CONCACE,Bordeaux
103,1124391,TOPAL,Bordeaux
104,1065981,SISTM,Bordeaux
105,219689,SISTM,Bordeaux
106,1184756,BIVWAC,Bordeaux
107,1002316,PLEIADE,Bordeaux
108,90029,HiePACS,Bordeaux
109,179934,MANAO,Bordeaux
110,55994,CQFD,Bordeaux
111,1169815,CANARI,Bordeaux
112,1089098,EDGE,Bordeaux
113,1063530,ASTRAL,Bordeaux
114,409749,MEMPHIS,Bordeaux
115,409748,MONC,Bordeaux
116,90160,LFANT,Bordeaux
117,172042,CARMEN,Bordeaux
118,56002,Realopt,Bordeaux
119,409746,CARDAMOM,Bordeaux
120,111222,ATEAMS,Lille
121,178862,FUN,Lille
122,222547,Orchestron,Lille
123,236761,DREAMPAL,Lille
124,525216,GAIA,Lille
125,521150,MEPHYSTO-POST,Lille
126,433077,RAPSODI,Lille
127,56018,SIMPAF,Lille
128,1005973,Paradyse,Lille
129,241207,MEPHYSTO,Lille
130,158815,BONSAI,Lille
131,56016,SEQUEL,Lille
132,239912,SPIRALS,Lille
133,56017,SEQUOIA,Lille
134,56015,POPS,Lille
135,213914,MAGNET,Lille
136,56012,DART,Lille
137,2327,JACQUARD,Lille
138,56009,ADAM,Lille
139,56013,DOLPHIN,Lille
140,213762,LINKS,Lille
141,82140,RMOD,Lille
142,56010,ALCOVE,Lille
143,56014,MOSTRARE,Lille
144,111223,MINT,Lille
145,111224,SEQUOIA2,Lille
146,111225,SHAMAN,Lille
147,525219,NON-A-POST,Lille
148,128611,MODAL,Lille
149,432639,DREAMPAL,Lille
150,432644,SPIRALS,Lille
151,144505,NON-A,Lille
152,409871,DEFROST,Lille
153,432028,BONSAI,Lille
154,525217,LOKI,Lille
155,1042631,Scool,Lille
156,1166973,EVREF,Lille
157,409872,MJOLNIR,Lille
158,1081309,SYCOMORES,Lille
159,551852,VALSE,Lille
160,432650,MAGNET,Lille
161,432039,NON-A,Lille
162,432036,SEQUEL,Lille
163,432029,DOLPHIN,Lille
164,432648,LINKS,Lille
165,432038,MINT2,Lille
166,505216,BONUS,Lille
167,433076,INOCS,Lille
168,432037,RMOD,Lille
169,2314,A3,Saclay
170,2328,LOGICAL,Saclay
171,2337,SECSI,Saclay
172,27616,COMPOSE,Saclay
173,55047,TYPICAL,Saclay
174,55175,MAXPLUS,Saclay
175,70767,HIPERCOM,Saclay
176,56037,APIS,Saclay
177,56038,ASAP,Saclay
178,56040,COMETE,Saclay
179,56041,Commands,Saclay
180,56043,DAHU,Saclay
181,56044,DeFI,Saclay
182,56045,DIGIPLANTE,Saclay
183,56046,GALEN,Saclay
184,56052,PARSIFAL,Saclay
185,56055,SELECT,Saclay
186,56056,TANC,Saclay
187,157663,MEXICO,Saclay
188,133583,Regularity,Saclay
189,118082,LEO,Saclay
190,170917,BYMOORE,Saclay
191,170918,POPIX,Saclay
192,162723,GECO,Saclay
193,200674,MACS,Saclay
194,201313,GRACE,Saclay
195,211984,SPECFUN,Saclay
196,454595,XPOP,Saclay
197,454729,DEDUCTEAM,Saclay
198,454730,Gamma3,Saclay
199,454733,Lifeware,Saclay
200,454734,SMIS,Saclay
201,485707,AMIBIO,Saclay
202,450091,TROPICAL,Saclay
203,478609,RANDOPT,Saclay
204,569698,COMMANDS,Saclay
205,561510,CELESTE,Saclay
206,571802,GAMMA,Saclay
207,563449,TRiBE,Saclay
208,563293,OPIS,Saclay
209,553811,SELECT-POST,Saclay
210,529406,GALEN-POST,Saclay
211,577948,PARTOUT,Saclay
212,573895,ASCII,Saclay
213,1043517,OPIS,Saclay
214,1062150,AVIZ,Saclay
215,1066529,TAU,Saclay
216,1058419,PLATON,Saclay
217,267245,INFINE,Saclay
218,451441,CEDAR,Saclay
219,1050010,EX-SITU,Saclay
220,1050016,TOCCATA,Saclay
221,1050017,AVIZ,Saclay
222,1050018,ILDA,Saclay
223,1050019,TAU,Saclay
224,1063535,SIMBIOTX,Saclay
225,1096341,MATHEXP,Saclay
226,1143892,GEOMERIX,Saclay
227,1093353,SODA,Saclay
228,1160007,MERGE,Saclay
229,1095741,IDEFIX,Saclay
230,1153924,POEMS,Saclay
231,1153925,POEMS,Saclay
232,56053,PROVAL,Saclay
233,1077453,IDEFIX,Saclay
234,1166429,BENAGIL,Saclay
235,486839,PETRUS,Saclay
236,1062151,EX-SITU,Saclay
237,1062152,ILDA,Saclay
238,56035,ALCHEMY,Saclay
239,56050,IN-SITU,Saclay
240,56047,GEMO,Saclay
241,244753,POSTALE,Saclay
242,212219,TOCCATA,Saclay
243,486840,TAU,Saclay
244,421274,ILDA,Saclay
245,103784,AMIB,Saclay
246,191617,OAK,Saclay
247,421273,EX-SITU,Saclay
248,56039,AVIZ,Saclay
249,214668,M3DISIM,Saclay
250,1159993,QURIOSITY,Saclay
251,1184761,PARMA,Saclay
252,1042460,CELESTE,Saclay
253,1050847,MUSCA,Saclay
254,111017,DISCO,Saclay
255,56057,TAO,Saclay
256,1051186,DISCO,Saclay
257,529407,INFINE-POST,Saclay
258,3316,POEMS,Saclay
259,1042691,MEXICO,Saclay
260,1042690,DEDUCTEAM,Saclay
261,1065839,DEDUCTEAM,Saclay
262,1066537,TOCCATA,Saclay
263,1086683,QuaCS,Saclay
264,1066536,MEXICO,Saclay
265,56049,GRAND-LARGE,Saclay
266,1136106,FAIRPLAY,Saclay
267,56051,PARIETAL,Saclay
268,1160004,GAMMAO,Saclay
269,1124248,MIND,Saclay
270,382,OBASCO,Rennes
271,25733,ASAP,Rennes
272,2501,ATLAS,Rennes
273,2505,ACES,Rennes
274,2511,ASPI,Rennes
275,2512,CAPS,Rennes
276,2515,DISTRIBCOM,Rennes
277,2516,DREAM,Rennes
278,2518,ESPRESSO,Rennes
279,2521,Lande,Rennes
280,2522,METISS,Rennes
281,2526,PARIS,Rennes
282,2529,S4,Rennes
283,2530,SAGE,Rennes
284,2533,SISTHEM,Rennes
285,2535,SYMBIOSE,Rennes
286,2536,TEMICS,Rennes
287,2538,TEXMEX,Rennes
288,2539,TRISKELL,Rennes
