,Conference,Publication Date,Publication Count
0,CDC 2019 - 58th IEEE Conference on Decision and Control,2019,27
1,IFAC 2020 - 21st IFAC World Congress,2020,18
2,IFAC 2020 - 21st IFAC World Congress,2021,1
3,NeurIPS 2020 - 34th Conference on Neural Information Processing Systems,2020,18
4,ICPR 2020 - 25th International Conference on Pattern Recognition,2021,14
5,ICPR 2020 - 25th International Conference on Pattern Recognition,2020,3
6,NeurIPS 2023 - 37th Conference on Neural Information Processing Systems,2023,17
7,GRETSI 2023 - XXIXème Colloque Francophone de Traitement du Signal et des Images,2023,16
8,CDC 2018 - 57th IEEE Conference on Decision and Control,2018,15
9,ICML 2022 - 39th International Conference on Machine Learning,2022,15
10,International Conference on Machine Learning,2020,4
11,International Conference on Machine Learning,2021,4
12,International Conference on Machine Learning,2019,3
13,International Conference on Machine Learning,2023,3
14,International Conference on Machine Learning,2018,1
15,EUSIPCO 2020 - 28th European Signal Processing Conference,2021,11
16,EUSIPCO 2020 - 28th European Signal Processing Conference,2020,3
17,ICML 2021 - 38th International Conference on Machine Learning,2021,14
18,ROADEF 2022 - 23ème congrès annuel de la Société Française de Recherche Opérationnelle et d'Aide à la Décision,2022,14
19,ICCV 2019 - International Conference on Computer Vision,2019,12
20,ICCV 2019 - International Conference on Computer Vision,2020,1
21,ALGOTEL 2018 - 20èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications,2018,12
22,CDC 2020 - 59th IEEE Conference on Decision and Control,2020,12
23,ECC 2019 - 18th European Control Conference,2019,12
24,GRETSI 2022 - XXVIIIème Colloque Francophone de Traitement du Signal et des Images,2022,12
25,JFLA 2023 - 34èmes Journées Francophones des Langages Applicatifs,2023,12
26,NeurIPS 2019 - Thirty-third Conference on Neural Information Processing Systems,2019,12
27,NeurIPS 2022 - Thirty-sixth Conference on Neural Information Processing Systems,2022,12
28,"16ème Congrès Français d'Acoustique, CFA2022",2022,11
29,18e Conférence en Recherche d'Information et Applications -- 16e Rencontres Jeunes Chercheurs en RI -- 30e Conférence sur le Traitement Automatique des Langues Naturelles -- 25e Rencontre des Étudiants Chercheurs en Informatique pour le Traitement Automatique des Langues,2023,11
30,ALGOTEL 2020 – 22èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications,2020,11
31,"COMPAS 2022 - Conférence francophone d'informatique en Parallélisme, Architecture et Système",2022,11
32,EUSIPCO 2021 - 29th European Signal Processing Conference,2021,11
33,"ICASSP 2018 - IEEE International Conference on Acoustics, Speech and Signal Processing",2018,11
34,IFAC 2020 - 21rst IFAC World Congress,2020,11
35,INTERSPEECH 2020,2020,11
36,IROS 2023 - IEEE/RSJ International Conference on Intelligent Robots and Systems,2023,11
37,International Conference on Artificial Intelligence and Statistics,2020,4
38,International Conference on Artificial Intelligence and Statistics,2019,3
39,International Conference on Artificial Intelligence and Statistics,2021,2
40,International Conference on Artificial Intelligence and Statistics,2022,2
41,NeurIPS 2021 - Thirty-fifth Conference on Neural Information Processing Systems,2021,11
42,NeurIPS 2022 - 36th Conference on Neural Information Processing Systems,2022,11
43,57th IEEE Conference on Decision and Control (CDC 2018),2018,10
44,AISTATS 2020 - 23rd International Conference on Artificial Intelligence and Statistics,2020,10
45,CDC 2023 - 62nd IEEE Conference on Decision and Control,2023,10
46,"COMPAS 2019 - Conférence d'informatique en Parallélisme, Architecture et Système",2019,10
47,GRETSI 2019 - XXVIIème Colloque francophone de traitement du signal et des images,2019,10
48,"ICASSP 2023 - IEEE International Conference on Acoustics, Speech and Signal Processing",2023,10
49,ICIP 2019 - IEEE International Conference on Image Processing,2019,10
50,ICML 2019 - 36th International Conference on Machine Learning,2019,10
51,ICML 2020 - 37th International Conference on Machine Learning,2020,10
52,ICRA 2021 - IEEE International Conference on Robotics and Automation,2021,10
53,NeurIPS 2021 - 35th Conference on Neural Information Processing Systems,2021,10
54,OHBM 2019 - 25th Annual Meeting of the Organization for Human Brain Mapping,2019,10
55,SoCG 2020 - 36th International Symposium on Computational Geometry,2020,10
56,AlgoTel 2022 - 24èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications,2022,9
57,CDC 2021 - 60th IEEE Conference on Decision and Control,2021,9
58,CRYPTO 2020 - 40th Annual International Cryptology Conference,2020,9
59,CVPR 2020 - IEEE Conference on Computer Vision and Pattern Recognition,2020,9
60,ECC 2021 - European Control Conference,2021,9
61,ECCV 2018 - European Conference on Computer Vision,2018,9
62,EUSIPCO 2019 - 27th European Signal Processing Conference,2019,8
63,EUSIPCO 2019 - 27th European Signal Processing Conference,2020,1
64,FSPM 2020 - 9th International Conference on Functional-Structural Plant Models,2020,9
65,"ICARCV 2022 - 17th International Conference on Control, Automation, Robotics and Vision",2022,9
66,"ICASSP 2022 - IEEE International Conference on Acoustics, Speech and Signal Processing",2022,9
67,ICFCA 2019 - 15th International Conference on Formal Concept Analysis,2019,9
68,ICRA 2023 - IEEE International Conference on Robotics and Automation,2023,8
69,ICRA 2023 - IEEE International Conference on Robotics and Automation,2022,1
70,INTERSPEECH 2021,2021,9
71,IROS 2018 - IEEE/RSJ International Conference on Intelligent Robots and Systems,2018,9
72,IROS 2019 - IEEE/RSJ International Conference on Intelligent Robots and Systems,2019,9
73,NeurIPS 2021 - 35th International Conference on Neural Information Processing Systems,2021,9
74,WCNC 2019 - IEEE Wireless Communications and Networking Conference,2019,9
75,23ème congrès annuel de la Société Française de Recherche Opérationnelle et d'Aide à la Décision,2022,8
76,AISTATS 2022 - 25th International Conference on Artificial Intelligence and Statistics,2022,8
77,ALGOTEL 2019 - 21èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications,2019,8
78,CADE 2021 - 28th International Conference on Automated Deduction,2021,8
79,"CORES 2022 – 7ème Rencontres Francophones sur la Conception de Protocoles, l’Évaluation de Performance et l’Expérimentation des Réseaux de Communication",2022,8
80,CVPR 2022 - IEEE/CVF Conference on Computer Vision and Pattern Recognition,2022,8
81,ECCV 2020 - 16th European Conference on Computer Vision,2020,8
82,FG 2021 - IEEE International Conference on Automatic Face and Gesture Recognition,2021,8
83,"ICASSP 2020 - 45th International Conference on Acoustics, Speech, and Signal Processing",2020,8
84,ICCV 2023 - International Conference on Computer Vision,2023,8
85,ICML 2023 - 40th International Conference on Machine Learning,2023,8
86,IEEE 60th Conference on Decision and Control (CDC 2021),2021,8
87,IFAC 2023 - 22nd World Congress of the International Federation of Automatic Control,2023,8
88,INTERSPEECH 2019 - 20th Annual Conference of the International Speech Communication Association,2019,8
89,ISBI 2019 - IEEE International Symposium on Biomedical Imaging,2019,8
90,LICS 2021 - 36th Annual ACM/IEEE Symposium on Logic in Computer Science,2021,8
91,LICS 2022 - 37th Annual ACM/IEEE Symposium on Logic in Computer Science,2022,8
92,33èmes Journées Francophones des Langages Applicatifs,2022,7
93,Algorithmic Learning Theory,2019,3
94,Algorithmic Learning Theory,2021,3
95,Algorithmic Learning Theory,2018,1
96,CHI 2023 - Conference on Human Factors in Computing Systems,2023,7
97,CVPR 2023 - IEEE/CVF Conference on Computer Vision and Pattern Recognition,2023,7
98,Computing in Cardiology 2022,2022,7
99,EUSIPCO 2018 - 26th European Signal Processing Conference,2018,7
100,FIMH 2021 - 11th International Conference on Functional Imaging and Modeling of the Heart,2021,7
101,"ICASSP 2019 - IEEE International Conference on Acoustics, Speech, and Signal Processing",2019,7
102,ICCV 2021 - International Conference on Computer Vision,2021,7
103,ICLR 2022 - 10th International Conference on Learning Representations,2022,7
104,ICPP 2018 - 47th International Conference on Parallel Processing,2018,7
105,ICRA 2022 - IEEE International Conference on Robotics and Automation,2022,7
106,IFAC 2023 - 22nd IFAC World Congress,2023,7
107,IFAC World Congress 2023,2023,7
108,IGARSS 2019 - IEEE International Geoscience and Remote Sensing Symposium,2019,7
109,JdS 2019 - 51èmes Journées de Statistique,2019,7
110,LREC 2020 - 12th Language Resources and Evaluation Conference,2020,7
111,LREC 2022 - 13th Language Resources and Evaluation Conference,2022,7
112,"MASCOTS 2019 - 27th IEEE International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",2019,7
113,MTNS 2021 -24th International Symposium on Mathematical Theory of Networks and Systems,2021,7
114,NeurIPS 2022 - 36th Conference on Neural Information Processing System,2022,6
115,NeurIPS 2022 - 36th Conference on Neural Information Processing System,2023,1
116,TDS 2022 - 17th IFAC Workshop on Time Delay Systems,2022,7
117,VR 2019 - 26th IEEE Conference on Virtual Reality and 3D User Interfaces,2019,7
118,61st IEEE Conference on Decision and Control (CDC 2022),2022,6
119,62nd IEEE Conference on Decision and Control,2023,6
120,ACC 2020 - American Control Conference,2020,6
121,AISTATS 2023 - 26th International Conference on Artificial Intelligence and Statistics,2023,4
122,AISTATS 2023 - 26th International Conference on Artificial Intelligence and Statistics,2022,2
123,ALGOTEL 2021 - 23èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications,2021,6
124,ASIACRYPT 2018 - 24th Annual International Conference on the Theory and Application of Cryptology and Information Security,2018,6
125,ASIACRYPT 2019 - 25th International Conference on the Theory and Application of Cryptology and Information Security,2019,6
126,CDC 2022 - 61st IEEE Conference on Decision and Control,2022,6
127,CHI 2019 - The ACM CHI Conference on Human Factors in Computing Systems,2019,6
128,CMStatistics 2022 - 15th International Conference of the ERCIM WG on Computational and Methodological Statistics,2022,6
129,"COMPAS 2020 - Conférence francophone d'informatique en Parallélisme, Architecture et Système",2020,6
130,"CORES 2021 – 6ème Rencontres Francophones sur la Conception de Protocoles, l’Évaluation de Performance et l’Expérimentation des Réseaux de Communication",2021,6
131,"CoRes 2023 - 8èmes Rencontres Francophones sur la Conception de protocoles, l'évaluation de performances et l'expérimentation de Réseaux de communication",2023,6
132,"Conférence Archipel 2022 : Risques systémiques, trajectoires et leviers d’action transdisciplinaires",2022,6
133,ECAI 2020 - 24th European Conference on Artificial Intelligence,2020,6
134,ECC 2019 - European Control Conference,2019,6
135,FSCD 2022 - 7th International Conference on Formal Structures for Computation and Deduction,2022,6
136,Finite Volumes for Complex Applications X,2023,6
137,GLOBECOM 2021 - IEEE Global Communications Conference,2021,6
138,"ICASSP 2020 - IEEE International Conference on Acoustics, Speech and Signal Processing",2020,6
139,"ICASSP 2021 - 46th International Conference on Acoustics, Speech, and Signal Processing",2021,6
140,ICLR 2021 - International Conference on Learning Representations,2021,6
141,ICML 2018 - 35th International Conference on Machine Learning,2018,6
142,IEEE Conference on Decision and Control,2022,3
143,IEEE Conference on Decision and Control,2020,1
144,IEEE Conference on Decision and Control,2021,1
145,IEEE Conference on Decision and Control,2023,1
146,IFAC World Congress,2020,5
147,IFAC World Congress,2023,1
148,IM 2021 - 17th IFIP/IEEE International Symposium on Integrated Network Management,2021,6
149,INFOCOM 2019 - IEEE International Conference on Computer Communications,2019,6
150,IOMAC 2019 - 8th International Operational Modal Analysis Conference,2019,6
151,IROS 2020 - IEEE/RSJ International Conference on Intelligent Robots and Systems,2020,6
152,Journées Ondes Sud-Ouest (JOSO),2019,5
153,Journées Ondes Sud-Ouest (JOSO),2023,1
154,LICS 2019 - 34th Annual ACM/IEEE Symposium on Logic in Computer Science,2019,6
155,MICCAI 2021 - 24th International Conference on Medical Image Computing and Computer Assisted Intervention,2021,6
156,MTNS 2022 - 25th International Symposium on Mathematical Theory of Networks and Systems,2022,6
157,NOMS 2018 - IEEE/IFIP Network Operations and Management Symposium,2018,6
158,NeurIPS 2019 - 33th Annual Conference on Neural Information Processing Systems,2019,6
159,Neural Information Processing Systems,2020,4
160,Neural Information Processing Systems,2018,1
161,Neural Information Processing Systems,2019,1
162,Proc. 61th IEEE Conference on Decision and Control (CDC),2022,6
163,QBI 2019 - Quantitative BioImaging Conference,2019,6
164,RV 2018 - 18th International Conference on Runtime Verification,2018,6
165,"Rencontres Francophones sur la Conception de Protocoles, l’Évaluation de Performance et l’Expérimentation des Réseaux de Communication",2018,6
166,Séminaire du LIRIMA,2019,3
167,Séminaire du LIRIMA,2020,2
168,Séminaire du LIRIMA,2021,1
169,TDS 2021 - 16th IFAC Workshop on Time Delay Systems,2021,6
170,11th European Conference on Mathematical and Theoretical Biology (ECMTB),2018,5
171,22nd World Congress of the International Federation of Automatic Control (IFAC 2023),2023,5
172,"24th International Conference on System Theory, Control and Computing (ICSTCC 2020)",2020,5
173,58th IEEE Conference on Decision and Control (CDC 2019),2019,5
174,"6e conférence conjointe Journées d'Études sur la Parole (JEP, 33e édition), Traitement Automatique des Langues Naturelles (TALN, 27e édition), Rencontre des Étudiants Chercheurs en Informatique pour le Traitement Automatique des Langues (RÉCITAL, 22e édition). Volume 1 : Journées d'Études sur la Parole",2020,5
175,ACC 2018 - American Control Conference,2018,5
176,ACC 2021 - American Control Conference,2021,3
177,ACC 2021 - American Control Conference,2020,2
178,AISTATS 2021 - 24th International Conference on Artificial Intelligence and Statistics,2021,5
179,ARITH 2019 - 26th IEEE Symposium on Computer Arithmetic,2019,5
180,ASIACRYPT 2021 - 27th Annual International Conference on the Theory and Application of Cryptology and Information Security,2021,5
181,AVSS 2021 - 17th IEEE International Conference on Advanced Video and Signal-based Surveillance,2021,5
182,Advances in Neural Information Processing Systems,2018,1
183,Advances in Neural Information Processing Systems,2019,1
184,Advances in Neural Information Processing Systems,2021,1
185,Advances in Neural Information Processing Systems,2022,1
186,Advances in Neural Information Processing Systems,2023,1
