,Conference,Publication Date,Team Acronym,Publication Count
0,CDC 2019 - 58th IEEE Conference on Decision and Control,2019,NECS-POST,6
1,CDC 2019 - 58th IEEE Conference on Decision and Control,2019,BIOCORE,4
2,CDC 2019 - 58th IEEE Conference on Decision and Control,2019,McTAO,3
3,CDC 2019 - 58th IEEE Conference on Decision and Control,2019,VALSE,3
4,CDC 2019 - 58th IEEE Conference on Decision and Control,2019,ACUMES,2
5,CDC 2019 - 58th IEEE Conference on Decision and Control,2019,TROPICAL,2
6,CDC 2019 - 58th IEEE Conference on Decision and Control,2019,DYOGENE,2
7,CDC 2019 - 58th IEEE Conference on Decision and Control,2019,QUANTIC,2
8,CDC 2019 - 58th IEEE Conference on Decision and Control,2019,SPHINX,1
9,CDC 2019 - 58th IEEE Conference on Decision and Control,2019,SUMO,1
10,CDC 2019 - 58th IEEE Conference on Decision and Control,2019,CHORALE,1
11,CDC 2019 - 58th IEEE Conference on Decision and Control,2019,POLARIS,1
12,IFAC 2020 - 21st IFAC World Congress,2020,DISCO,10
13,IFAC 2020 - 21st IFAC World Congress,2020,VALSE,6
14,IFAC 2020 - 21st IFAC World Congress,2020,CaGE,2
15,IFAC 2020 - 21st IFAC World Congress,2020,LOKI,1
16,IFAC 2020 - 21st IFAC World Congress,2020,PIXEL,1
17,IFAC 2020 - 21st IFAC World Congress,2020,COMMANDS,1
18,IFAC 2020 - 21st IFAC World Congress,2020,I4S,1
19,IFAC 2020 - 21st IFAC World Congress,2021,DISCO,1
20,NeurIPS 2020 - 34th Conference on Neural Information Processing Systems,2020,PARIETAL,4
21,NeurIPS 2020 - 34th Conference on Neural Information Processing Systems,2020,XPOP,3
22,NeurIPS 2020 - 34th Conference on Neural Information Processing Systems,2020,Flowers,2
23,NeurIPS 2020 - 34th Conference on Neural Information Processing Systems,2020,SIERRA,2
24,NeurIPS 2020 - 34th Conference on Neural Information Processing Systems,2020,CELESTE,2
25,NeurIPS 2020 - 34th Conference on Neural Information Processing Systems,2020,SEQUEL,1
26,NeurIPS 2020 - 34th Conference on Neural Information Processing Systems,2020,DATASHAPE,1
27,NeurIPS 2020 - 34th Conference on Neural Information Processing Systems,2020,ANTIQUE,1
28,NeurIPS 2020 - 34th Conference on Neural Information Processing Systems,2020,DYOGENE,1
29,NeurIPS 2020 - 34th Conference on Neural Information Processing Systems,2020,NEO,1
30,NeurIPS 2020 - 34th Conference on Neural Information Processing Systems,2020,VALSE,1
31,NeurIPS 2020 - 34th Conference on Neural Information Processing Systems,2020,MAASAI,1
32,NeurIPS 2020 - 34th Conference on Neural Information Processing Systems,2020,Scool,1
33,NeurIPS 2020 - 34th Conference on Neural Information Processing Systems,2020,TAU,1
34,ICPR 2020 - 25th International Conference on Pattern Recognition,2021,LinkMedia,3
35,ICPR 2020 - 25th International Conference on Pattern Recognition,2021,ZENITH,2
