Conference,2018,2019,2020,2021,2022,2023
"""I Can't Believe It's Not Better!"" at NeurIPS Workshops",,,Scool (1),,,
"""Seeing is Believing"" Conference",,SERPICO (1),,,,
"""Statistical modeling for Shapes and Imaging” workshop",,SERPICO (1),,,,
$MB^2$ 3rd Mathematical Biology Modelling Days of Besançon,BIOCORE (1),,,,,
(ISIT 2023 - IEEE International Symposium on Information Theory,,,,,,NEO (1)
"1 scientifique, 1 classe : Chiche ! Lycée Saint John Perse",,,,,,CAGIRE (2)
10e Conférence sur les Environnements Informatiques pour l’Apprentissage Humain,,,,Flowers (1),,
10th Eurographics Workshop on Intelligent Cinematography and Editing,,,,,BIOVISION (1),
10th European Congress on Embedded Real Time Software and Systems (ERTS 2020),,,FLUMINANCE (1),,,
10th IEEE Green Technologies Conference (GreenTech 2018),DYOGENE (1),,,,,
10th IEEE Sensor Array and Multichannel Signal Processing Workshop (SAM 2018),GALEN-POST (1),,,,,
10th IEEE Sensor Array and Multichannel Signal Processing workshop,PARIETAL (1),,,,,
10th IFAC Symposium on Robust Control Design ROCOND 2022,,,,,DISCO (1),
"10th International Conference on Complex Networks and their Applications, CNA 2021",,,,CAPSID (1),,
10th International Conference on Functional-Structural Plant Models,,,,,,MOSAIC (1)
10th International Conference on Historical Lexicography and Lexicology (ICHLL),,ALMAnaCH (1),,,,
"10th International Conference on Image Processing Theory, Tools and Applications, IPTA’20",,,BIGS (1),,,
10th International Conference on Machine Vision,MOSAIC (1),,,,,
10th International Congress on Industrial and Applied Mathematics,,,,,,INOCS (1)
10th International Congress on Industrial and Applied Mathematics (ICIAM 2023),,,,,,COMMEDIA (1)
"10th International Joint Conference on Automated Reasoning, IJCAR",,,VERIDIS (1) PESTO (1),,,
10th International Workshop on Polyhedral Compilation Techniques (IMPACT 2020),,CASH (1),,,,
10th USENIX Workshop on the Theory and Practice of Provenance (TaPP 2018),VALDA (1),,,,,
10th Workshop on Programming Languages and Operating Systems,,DELYS (1) Whisper (1),,,,
10th Workshop on Rapid Simulation and Performance Evaluation: Methods and Tools,KAIROS (1),,,,,
10th conference on Structural-Functional Plant Models,,,,,,MOSAIC (1)
10th international symposium on foundations and practice of security,RESIST (1),,,,,
"10th workshop on Planning, Perception and Navigation for Intelligent Vehicles at Int. Conf. on Intelligent Robots and Systems",CHORALE (2),,,,,
10ème biennale française des mathématiques appliquées et industrielles,,,,CAGIRE (1),,
11th ACM SIGPLAN International Conference on Certified Programs and Proofs (CCP'22),,,,,DEDUCTEAM (1),
11th EAI International Conference on Performance Evaluation Methodologies and Tools,COMETE (1),,,,,
11th European Conference on Mathematical and                   Theoretical Biology (ECMTB),BIOCORE (1),,,,,
11th European Conference on Mathematical and Theoretical Biology (ECMTB 2018),BIOCORE (3),,,,,
11th European Conference on Mathematical and Theoretical Biology (ECMTB),BIOCORE (5) BIOCORE (2),,,,,
"11th IAA Symposium on the Future of Space Exploration Moon, Mars and Beyond: Becoming an Interplanetary Civilization",,AUCTUS (1),,,,
11th IFAC Symposium on Nonlinear Control Systems,,ALICE (1),,,,
11th IFIP International Conference on Information Security Theory and Practice (WISTP),CIDRE (1) TAMIS (1),,,,,
"11th Indian Conference on Computer Vision, Graphics and Image Processing  (ICVGIP-2018)",STARS (1),,,,,
11th International Conference ETOPIM,POEMS (1),,,,,
11th International Conference on Smart Cities and Green ICT Systems,,,,,DATAMOVE (1),
"11th International Symposium on Communication Systems, Networks, and Digital Signal Processing (CSNDSP)",MIMOVE (1),,,,,
11th International Workshop on Research and Practice Challenges for Engineering Interactive Systems (EISMS 2019),,WIMMICS (1),,,,
"11th International Workshop on Wireless Sensor, Robot and UAV Networks (WiSARN@IEEE INFOCOM 2018)",COATI (1),,,,,
11th Language Resources and Evaluation Conference,ALMAnaCH (1),,,,,
11th World Congress for NeuroRehabilitation,,,Empenn (1),,,
12th ACM SIGPLAN International Conference on Certified Programs and Proofs,,,,,,Scool (1)
12th ACM SIGPLAN International Workshop on the State Of the Art in Program Analysis (SOAP 2023),,,,,,ANTIQUE (1)
12th European Conference on Mathematical and Theoretical Biology (ECMTB),,,,,BIOCORE (2),
12th Forum on Specification and Design Languages (FDL 2017),,Parkas (1),,,,
12th IFAC Symposium on Robot Control SYROCO 2018,DISCO (1),,,,,
"12th International Conference on Applied Human Factors and Ergonomics, AHFE 2021",,,,LARSEN (1),,
12th International Conference on Information Systems and Advanced Technologies ICISAT 2022,,,,,,MODAL (1)
12th International Conference on Knowledge Discovery and Information Retrieval,,,TAU (1),,,
12th International Conference on Provable Security (ProvSec 2018),CIDRE (1),,,,,
12th International Conference on Scalable Uncertainty Management (SUM 2018),WIMMICS (1),,,,,
12th International Conference on Scientific Computing in Electrical Engineering,,,AROMATH (1),,,
12th International Workshop on Polyhedral Compilation Techniques (IMPACT'22),,,,,CASH (1),
"12th International Workshop on Service Oriented, Holonic and Multi-Agent Manufacturing Systems for Industry of the Future",,,,,SEMAGRAMME (1),
12ème Conférence Francophone d’Epidémiologie Clinique (EPICLIN) et 25èmes Journées des statisticiens des Centre de Lutte Contre le Cancer (CLCC),EPIONE (1),,,,,
13e Rencontre du Réseau Français de Biologie Adaptative des Pucerons et Organismes Associés (BAPOA),,,,,,ERABLE (1)
13es journées scientifiques,,ORPAILLEUR (1),,,,
13th ICOSAHOM 2020/2021 Conference Proceeding,,,,SERENA (1),,
13th IEEE PES PowerTech Conference,,DYOGENE (1),,,,
13th IFAC Workshop on Adaptive and Learning Control Systems (ALCOS 2019),,I4S (1),,,,
13th IFIP International Conference on Information Security Theory and Practice (WISTP),,,PolSys (1),,,
13th Innovations in Theoretical Computer Science Conference (ITCS 2022),,,,,QINFO (1),
"13th International Conference (MOPGP'19), Marrakech, Morocco, October 2019",,DOLPHIN (1),,,,
13th International Conference on Agents and Artificial Intelligence,,,,MODAL (1),,
13th International Conference on Interactive Theorem Proving  - ITP 2022,,,,,VERIDIS (1),
13th International Conference on Interactive Theorem Proving (ITP 2022),,,,,PI.R2 (1),
13th International Conference on Language Resources and Evaluation (LREC 2022),,,,,ORPAILLEUR (1),
13th International Conference on Monte Carlo Methods and Applications,,,,STATIFY (1),,
"13th International Conference on Sampling Theory and Applications, SampTA 2019",,MEPHYSTO-POST (1),,,,
13th International Conference on Software Technologies,DATAMOVE (1),,,,,
13th International Conference on Swarm Intelligence,,,,,BONUS (1),
13th International Joint Conference on Computational Intelligence,,,,Mnemosyne (1),,
13th International Symposium on Reconfigurable Communication-centric Systems-on-Chip (RECOSOC 2018),CORSE (1),,,,,
13th International Workshop on Programming Models and Applications for Multicores and Manycores (PMAM'22),,,,,BONUS (1),
13th Language Resources and Evaluation Conference,,,,,ALMAnaCH (1),
13th Language Resources and Evaluation Conference - LREC 2022,,,,,ALMAnaCH (1),
13th World Congress in Computational Mechanics,CARDAMOM (2) CAGIRE (1),,,,,
13th World Congress of Computational Mecanics,Magique 3D (1),,,,,
13th international Workshop on Logical Frameworks and Meta-Languages: Theory and Practice,PARSIFAL (2),,,,,
144e Congrès national des sociétés historiques et scientifique,,,,,,GRAPHDECO (1)
"144ème Congrès du C.T.H.S., Le réel & le virtuel, Marseille",,GRAPHDECO (1),,,,
14TH IEEE INTERNATIONAL CONFERENCE ON CLOUD COMPUTING TECHNOLOGY AND SCIENCE,,,,,,TADAAM (1)
14th Educators Symposium at MODELS 2018,CASH (1),,,,,
14th European Congress of Chemical Engineering and 7th European Congress of Applied Biotechnology,,,,,,BIOCORE (1)
14th European Workshop on Systems Security (EuroSec'21),,,,SPIRALS (1),,
14th Europlanet Science Congress 2020,,,STATIFY (2),,,
14th IEEE International Conference on eScience,VALDA (1),,,,,
14th IFAC Workshop on Time Delay Systems (TDS),GAIA (1),,,,,
